,name_m,bday_m,spouse_m,child_m,education_m,role_m,birthplace_m,bday_m_sp,birthplace_m_sp,role_m_sp,spouse_m_sp,child_m_sp,age_m_diff,age_m,age_m_spouse
2926,Paul Dawson,,PJ DeBoy,,,"Actor, DJ, writer",,,,,,,,,
2927,Richard Dawson,1932-11-20,Diana Dors ( m.  1959;  div.  1966) Gretchen Johnson ( m.  1991; his death 2012),"3, including Mark",,ActorComedianGame show host and panellist,"Gosport, Hampshire, England",,"Swindon, Wiltshire, England","Actress, singer",Dennis Hamilton ( m.  1951; died 1959) Richard Dawson ( m.  1959;  div.  1966) Alan Lake  ( m.  1968),"3, including Mark Dawson",,86.37275234946645,
2928,Charlie Day,1976-02-09,Mary Elizabeth Ellis  ( m.   2006 ),1,,"Actor, screenwriter, producer, comedian, musician","New York City, New York, U.S.",1979-05-11,"Laurel, Mississippi, U.S.",Actress,Charlie Day  ( m.   2006 ),1,-3.2498956172953584,43.15215233714587,39.90225671985051
2929,Dalton Day,1991-08-02,,,,"Actor, singer","Cumming, Georgia, U.S.",,,,,,,27.674764026639835,
2930,Mikey Day,1980-03-20,Paula Christensen,1,,"Actor, comedian, writer","Orange County, California, U.S.",,,,,,,39.04255391965612,
2931,Manish Dayal,1983-06-17,,,,"Actor, producer","Orangeburg, South Carolina, US",,,,,,,35.80087202338173,
2932,Danny Dayton,1923-11-20,"Dagmar  (? - ?) Arlene (1963 - February 6, 1999) (his death)",,,"Actor, television director","Jersey City, New Jersey, U.S.",,,,,,,95.37499058844466,
2933,Lee de Broux,1941-05-07,,,,Actor,"La Mesa, California, U.S.",,,,,,,77.91261969787196,
2934,Ted de Corsia,1903-09-29,Mary Robertson (1934–35; divorced) Rachel Thurber (1939–19??; divorced); 2 children,,,"Radio, film, television actor","Brooklyn, New York, U.S.",,,,,,,115.51777243885911,
2935,Robin de Jesús,1984-08-21,,,,"Stage, film actor","Norwalk, Connecticut U.S.",,,,,,,34.62083410336968,
2936,Joel de la Fuente,1969-04-21,Melissa Bowen,2,Brown University (BA)New York University (MFA),Actor,"New Hartford, New York, U.S.",,,,,,,49.95585124951231,
2937,Anthony De La Torre,,,,,"
Actor
singer
songwriter
guitarist
","Bowling Green, Ohio, U.S.",,,,,,,,
2938,Philippe De Lacy,,,,,Silent Film Actor,"Nancy, France",,,,,,,,
2939,John de Lancie,1948-11-13,Marnie Mosiman ( m.  1984),Keegan de LancieOwen de Lancie,Juilliard School (BFA),"Actor, comedian, director, producer, writer, singer, musician, voice artist","Philadelphia, Pennsylvania, U.S.",,,,,,,70.39158914967453,
2940,Anthony De Longis,1950-03-23,Mary de Longis (2003-present),,,"Actor, stuntman, fight choreographer","Glendale, California, U.S.",,,,,,,69.03632518121522,
2941,Kamar de los Reyes,1967-11-08,Sherri Saum  ( m.  2007),3,,Actor,"San Juan, Puerto Rico",1974-10-01,"Dayton, Ohio, United States",,Kamar de los Reyes  ( m.  2007),2,-6.896787750604051,51.40694196321622,44.51015421261217
2942,Robert De Niro,1943-08-17,Diahnne Abbott ( m.  1976;  div.  1988) Grace Hightower ( m.  1997; separated 2018),"6, including Drena and Raphael",,"Actor, producer, director","Manhattan, New York City, U.S.",1945-05-01,"New York City, NY, US","Actress, singer",Robert De Niro ( m.  1976;  div.  1988),"2, including Drena De Niro",-1.7057160653538403,75.63468106805752,73.92896500270368
2943,Vincent De Paul,1968-09-02,,,,,"Baltimore, Maryland, U.S.",,,,,,,50.588307768126654,
2944,Rex De Rosselli,1878-05-01,,,,Actor,"Kentucky, USA",,,,,,,140.92828737071946,
2945,Francis De Sales,1912-03-23,,,,Actor,"Philadelphia, Pennsylvania, United States",,,,,,,107.03573653120871,
2946,André De Shields,1946-01-12,,,,"actor, singer, director, dancer, novelist, choreographer, college professor","Baltimore, Maryland",,,,,,,73.22806080891462,
2947,Joseph De Stefani,1879-10-03,Helen De Stefani (nee Keers),,,Actor,"Venice, Italy",,,,,,,139.50457572708544,
2948,William De Vaull,1870-12-12,,,,Actor,"San Francisco, United States",,,,,,,148.31242256856746,
2949,Harry De Vere,,,,,Actor,New York City,,,,,,,,
2950,Jesse De Vorska,,,,,Actor,"Kovno, Russian Empire (present-day Kaunas, Lithuania)",,,,,,,,
2951,Billy De Wolfe,1907-02-18,,,,,"Quincy, Massachusetts, U.S.",,,,,,,112.12824356420734,
2952,Tim de Zarn,1952-07-11,,,,Actor,"Cincinnati, Ohio, U.S.",,,,,,,66.73374538833788,
2953,Richard Deacon,1921-05-14,,,,Film and television actor,"Philadelphia, Pennsylvania, U.S.",,,,,,,97.8938650348741,
2954,Ed Deacy,1946-04-28,,,,"Police detective, actor","Brooklyn, New York City, New York, United States",,,,,,,72.93784266617385,
2955,Cody Deal,1986-02-14,,,,"Actor, Model","Norman, Oklahoma, U.S.",,,,,,,33.13688850558191,
2956,Eddie Dean,1907-07-09,"Lorene Donnelly ""Dearest"" Dean (1911–2002, married 1930–1999, his death)",Donna Lee DanielEd Glosup,,"Singer, songwriter, actor","Posey, Texas, US",,,,,,,111.74219867622196,
2957,James Dean,1931-02-08,,,,Actor,"Marion, Indiana, U.S.",,,,,,,88.15512981101597,
2958,Loren Dean,1969-07-31,,,,Actor,"Las Vegas, Nevada, U.S.",,,,,,,49.67932264180647,
2959,Louis Dean,1874-05-03,,,,Actor,"Wilmington, Delaware",,,,,,,144.92289369391568,
2960,Ashton Dearholt,1894-04-04,"Florence Gilbert  (1926-1934) (divorced) Ula Holt (July 1935 - April 27, 1942; his death) Helene Rosson  (before 1926 - Divorced)",,,Actor,"Milwaukee, Wisconsin, US",,,,,,,125.0018823110673,
2961,Edgar Dearing,1893-05-04,,,,Actor,"Ceres, California, U.S.",,,,,,,125.91908115840846,
2962,Burr DeBenning,,Susan Silo,,,,"Seminole, Oklahoma, U.S.",,,,,,,,
2963,Lee de Broux,1941-05-07,,,,Actor,"La Mesa, California, U.S.",,,,,,,77.91261969787196,
2964,Ted de Corsia,1903-09-29,Mary Robertson (1934–35; divorced) Rachel Thurber (1939–19??; divorced); 2 children,,,"Radio, film, television actor","Brooklyn, New York, U.S.",,,,,,,115.51777243885911,
2965,Robin de Jesús,1984-08-21,,,,"Stage, film actor","Norwalk, Connecticut U.S.",,,,,,,34.62083410336968,
2966,Joel de la Fuente,1969-04-21,Melissa Bowen,2,Brown University (BA)New York University (MFA),Actor,"New Hartford, New York, U.S.",,,,,,,49.95585124951231,
2967,Anthony De La Torre,,,,,"
Actor
singer
songwriter
guitarist
","Bowling Green, Ohio, U.S.",,,,,,,,
2968,Philippe De Lacy,,,,,Silent Film Actor,"Nancy, France",,,,,,,,
2969,John de Lancie,1948-11-13,Marnie Mosiman ( m.  1984),Keegan de LancieOwen de Lancie,Juilliard School (BFA),"Actor, comedian, director, producer, writer, singer, musician, voice artist","Philadelphia, Pennsylvania, U.S.",,,,,,,70.39158914967453,
2970,Anthony De Longis,1950-03-23,Mary de Longis (2003-present),,,"Actor, stuntman, fight choreographer","Glendale, California, U.S.",,,,,,,69.03632518121522,
2971,Kamar de los Reyes,1967-11-08,Sherri Saum  ( m.  2007),3,,Actor,"San Juan, Puerto Rico",1974-10-01,"Dayton, Ohio, United States",,Kamar de los Reyes  ( m.  2007),2,-6.896787750604051,51.40694196321622,44.51015421261217
2972,Robert De Niro,1943-08-17,Diahnne Abbott ( m.  1976;  div.  1988) Grace Hightower ( m.  1997; separated 2018),"6, including Drena and Raphael",,"Actor, producer, director","Manhattan, New York City, U.S.",1945-05-01,"New York City, NY, US","Actress, singer",Robert De Niro ( m.  1976;  div.  1988),"2, including Drena De Niro",-1.7057160653538403,75.63468106805752,73.92896500270368
2973,Vincent De Paul,1968-09-02,,,,,"Baltimore, Maryland, U.S.",,,,,,,50.588307768126654,
2974,Rex De Rosselli,1878-05-01,,,,Actor,"Kentucky, USA",,,,,,,140.92828737071946,
2975,Francis De Sales,1912-03-23,,,,Actor,"Philadelphia, Pennsylvania, United States",,,,,,,107.03573653120871,
2976,André De Shields,1946-01-12,,,,"actor, singer, director, dancer, novelist, choreographer, college professor","Baltimore, Maryland",,,,,,,73.22806080891462,
2977,Joseph De Stefani,1879-10-03,Helen De Stefani (nee Keers),,,Actor,"Venice, Italy",,,,,,,139.50457572708544,
2978,William De Vaull,1870-12-12,,,,Actor,"San Francisco, United States",,,,,,,148.31242256856746,
2979,Harry De Vere,,,,,Actor,New York City,,,,,,,,
2980,Jesse De Vorska,,,,,Actor,"Kovno, Russian Empire (present-day Kaunas, Lithuania)",,,,,,,,
2981,Billy De Wolfe,1907-02-18,,,,,"Quincy, Massachusetts, U.S.",,,,,,,112.12824356420734,
2982,Tim de Zarn,1952-07-11,,,,Actor,"Cincinnati, Ohio, U.S.",,,,,,,66.73374538833788,
2983,Richard Deacon,1921-05-14,,,,Film and television actor,"Philadelphia, Pennsylvania, U.S.",,,,,,,97.8938650348741,
2984,Ed Deacy,1946-04-28,,,,"Police detective, actor","Brooklyn, New York City, New York, United States",,,,,,,72.93784266617385,
2985,Cody Deal,1986-02-14,,,,"Actor, Model","Norman, Oklahoma, U.S.",,,,,,,33.13688850558191,
2986,Eddie Dean,1907-07-09,"Lorene Donnelly ""Dearest"" Dean (1911–2002, married 1930–1999, his death)",Donna Lee DanielEd Glosup,,"Singer, songwriter, actor","Posey, Texas, US",,,,,,,111.74219867622196,
2987,James Dean,1931-02-08,,,,Actor,"Marion, Indiana, U.S.",,,,,,,88.15512981101597,
2988,Loren Dean,1969-07-31,,,,Actor,"Las Vegas, Nevada, U.S.",,,,,,,49.67932264180647,
2989,Louis Dean,1874-05-03,,,,Actor,"Wilmington, Delaware",,,,,,,144.92289369391568,
2990,Ashton Dearholt,1894-04-04,"Florence Gilbert  (1926-1934) (divorced) Ula Holt (July 1935 - April 27, 1942; his death) Helene Rosson  (before 1926 - Divorced)",,,Actor,"Milwaukee, Wisconsin, US",,,,,,,125.0018823110673,
2991,Edgar Dearing,1893-05-04,,,,Actor,"Ceres, California, U.S.",,,,,,,125.91908115840846,
2992,Burr DeBenning,,Susan Silo,,,,"Seminole, Oklahoma, U.S.",,,,,,,,
2993,PJ DeBoy,1971-06-07,Paul Dawson (actor),,,"Actor, talk show host","Baltimore, Maryland, United States",,,,,,,47.82849750508224,
2994,Matt DeCaro,,,,,"Film, television actor",,,,,,,,,
2995,Bryan Dechart,1987-03-17,Amelia Rose Blaire  ( m.  2018),,,"Actor, voice actor","Salt Lake City, Utah, U.S.",1987-11-20,"New York City, U.S.","Actress, voice actress",Bryan Dechart  ( m.  2018),,-0.6790009377331498,32.05267733081446,31.373676393081308
2996,Joey Dedio,1963-09-11,,,,"Voice actor, actor, producer, screenwriter","New York City, United States",,,,,,,55.56582270683176,
2997,Ben Deeley,1878-01-22,Marie Wayne Barbara La Marr,,,Actor,"Folsom, California",,,,,,,141.19934016441132,
2998,Justin Deeley,1986-02-01,,,,"Actor,","Louisville, Kentucky, U.S.",,,,,,,33.17248129667276,
2999,James Deen,1986-02-07,,,,,"Los Angeles County, California, United States[1]",,,,,,,33.15605385463083,
3000,Eddie Deezen,1957-03-06,,,,"Actor, voice actor, comedian","Cumberland, Maryland, U.S.",,,,,,,62.08204138346441,
3001,Don DeFore,1913-08-25,Marion Holmes ( m.  1942; his death 1993),5,Washington High School,,"Cedar Rapids, Iowa, U.S.",,,,,,,105.61202488757469,
3002,Calvert DeForest,1921-07-23,,,,"Actor, comedian","Brooklyn, New York, U.S.",,,,,,,97.7022115443849,
3003,Dane DeHaan,1986-02-06,Anna Wood  ( m.  2012),1,,"Actor, model","Allentown, Pennsylvania, U.S.",1985-12-30,"Mount Airy, North Carolina, U.S.",Actress,Dane DeHaan  ( m.  2012),1,0.10404046626556329,33.158791761637815,33.26283222790338
3004,Carter DeHaven,1886-10-05,Flora Parker DeHaven  (divorced) Evelyn Burd (divorced),"2, including Gloria DeHaven",,"Actor, director and writer","Chicago, Illinois, U.S.",,,,,,,132.49827169620184,
3005,John Dehner,1915-11-23,Roma Leonore Meyers (1941–1970; divorced; 2 children) Evelyn Severance (1973–1992; his death),,,"Radio, film, and television actor","Staten Island, New York, U.S.",,,,,,,103.36694114184412,
3006,Tim DeKay,1963-06-12,Elisa Taylor ( m.  1991),2,,Actor,"Lansing, New York, U.S.",,,,,,,55.81497224446772,
3007,Thomas Dekker,1987-12-28,Jesse Haddock ( m.  2017),,,"Actor, director, producer, singer, voice actor","Las Vegas, Nevada, U.S.",,,,,,,31.269635926815745,
3008,Mark Deklin,1967-12-03,Jamie Deklin (m. 2006),2,"Pennsylvania State University, University Park (BA)University of Washington, Seattle (MFA)","Actor, Fight Director","Pittsburgh, Pennsylvania, U.S.",,,,,,,51.33849428804151,
3009,Frank de Kova,1910-03-17,,,,Actor,"New York City,  U.S.",,,,,,,109.05357399535924,
3010,Jonathan Del Arco,1966-03-07,,,,"Stage, film, television actor",Uruguay,,,,,,,53.0798031444862,
3011,Matthew Del Negro,1972-08-02,Deirdre Whelan Del Negro (m. 2002–present),,,"Actor, director","Mount Kisco, New York, U.S.",,,,,,,46.67310074813309,
3012,Arturo del Puerto,,,,,Actor,,,,,,,,,
3013,David Del Rio,1987-09-29,Katherine Del Rio,,,Actor,"Miami, Florida, U.S.",,,,,,,31.51604755744471,
3014,Hampton Del Ruth,1879-09-07,Helen Carlyle Alta Allen  (m. 1920 – ?),,,"Actor, director, screenwriter, producer","Delaware, U.S.",,,,,,,139.57576130926714,
3015,Leon De La Mothe,1880-12-26,,,,Film directorActorScreenwriter,"New Orleans, Louisiana",,,,,,,138.2725175739406,
3016,Charles Delaney,1892-08-09,,,,,"New York, New York, US",,,,,,,126.65284023628138,
3017,Rob Delaney,1977-01-19,,4 (1 deceased),,"Comedian, actor, writer","Boston, Massachusetts, US",,,,,,,42.20757441973483,
3018,Lee Delano,,,,,,New York City,,,,,,,,
3019,Michael Delano,1940-11-26,,,,,"New York City, New York, U.S.",,,,,,,78.3561606330041,
3020,Brian Delate,1949-04-08,,,,Actor,"Trenton, New Jersey, United States",,,,,,,69.99185472665421,
3021,B. H. De Lay,1891-08-12,Juanita Smyth Mason,,,,"Alameda, California, United States",,,,,,,127.64670047981821,
3022,Bob Delegall,1945-07-24,Fran Saperstein (2 children),,,"Actor, television director, television producer","Philadelphia, Pennsylvania, U.S.",,,,,,,73.69898081411665,
3023,Jack DeLeon,1924-12-19,,,,Television actor,New York,,,,,,,94.2935173206842,
3024,Emilio Delgado,1940-05-08,Carole Delgado (m. 1990),,,"Actor, voice artist, singer","Calexico, California, United States",,,,,,,78.90921784841578,
3025,George DelHoyo,1953-11-23,Deborah May  (1983-present) (2 children) [1],,,Actor,"Canelones, Uruguay",,,,,,,65.36479188484363,
3026,David Della Rocco,1952-05-04,,,,"Actor, comedian","Norwich, Connecticut",,,,,,,66.9199230648131,
3027,Michael DeLorenzo,,,,,"Actor, director, writer, producer, musician, dancer",,,,,,,,,
3028,David DeLuise,1971-11-11,Brigitte DeLuise ( m.   1994 ;  div.   2003 ),2,,"Actor, television director","Burbank, California, U.S.",,,,,,,47.39864610498505,
3029,Dom DeLuise,1933-08-01,Carol Arthur  ( m.  1965),Peter DeLuiseMichael DeLuiseDavid DeLuise,,"Actor, voice actor, comedian, director, producer, author","Brooklyn, New York, U.S.",1935-08-04,"Hackensack, New Jersey, U.S.",Actress,Dom DeLuise ( m.  1965; died 2009),Peter DeLuiseMichael DeLuiseDavid DeLuise,-2.006885836122576,85.67732396969137,83.6704381335688
3030,Michael DeLuise,1969-08-04,,,,"Actor, director, producer","Los Angeles, California, U.S.",,,,,,,49.66837101377852,
3031,Peter DeLuise,1966-11-06,Gina Nemo ( m.  1988;  div.  1992) Anne Marie Loder  ( m.  2002),1,,"Actor, director, producer, screenwriter","New York, New York, U.S.",1965-03-22,"Manhattan, New York, U.S.","Actress, singer, executive producer, writer, director, marketing executive, poet",Peter DeLuise ( m.  1988;  div.  1992),,1.6263167621511736,52.411753834781,54.03807059693217
3032,William Demarest,1892-02-27,"Estelle Collette (b. 1886-d.1968) Lucile Thayer (1939–1983, his death) (1912–2009)",,,Actor,"Saint Paul, Minnesota, U.S.",,,,,,,127.10185698542749,
3033,Tommy Demenkoff,,Kelly Jeanne Grant,"2 daughters, 1 son",,"Arts Education Activist, Director, Actor, Teacher","Fulton, New York",,,,,,,,
3034,William DeMeo,1971-07-20,,,,"Actor, producer, director, writer","Bensonhurst, Brooklyn, New York, U.S.",,,,,,,47.71076750378173,
3035,Cecil B. DeMille,1881-08-12,Constance Adams DeMille  ( m.  1902),Cecilia DeMilleKatherine DeMilleJohn DeMilleRichard de Mille,,"Producer, director, editor, screenwriter, actor","Ashfield, Massachusetts, U.S.",1874-04-27,"East Orange, New Jersey",Actress,Cecil B. DeMille   (1902–1959; his death),,7.293784266617385,137.64553686934022,144.9393211359576
3036,John DeMita,1959-01-06,Julia Fletcher,"2, including Elliot",,"Actor, voice actor, teacher","New York, New York, U.S.",,,,,,,60.244905781775124,
3037,Ted Demme,1963-10-26,Amanda Scheer ( m.  1994; his death 2002),2,,"Film director, film producer, actor","New York City, United States",,"Washington, D.C., United States","Photographer, creative director, nightlife producer, music supervisor, label owner, artist manager",Ted Demme  (1994–2002; his death),2,,55.44261689151728,
3038,Pancho Demmings,,,,,Actor,,,,,,,,,
3039,Patrick Dempsey,1966-01-13,"Rochelle ""Rocky"" Parker ( m.  1987;  div.  1994) Jillian Fink  ( m.  1999)  ",3,,ActorRace car driver,"Lewiston, Maine, U.S.",,,,,,,53.22491221585659,
3040,Patrick O'Brien Demsey,1978-12-14,,,,Actor,"Danvers, Massachusetts, United States",,,,,,,40.30746695688481,
3041,Jeffrey DeMunn,1947-04-25,Ann Sekjaer ( m.  1974–1995) Kerry Leah ( m.  2001),2,,Actor,"Buffalo, New York, U.S.",,,,,,,71.94672032964401,
3042,Christopher Denham,,,,,"actor, film director, writer, producer","1980 Alsip, IL USA",,,,,,,,
3043,Alexis Denisof,1966-02-25,Alyson Hannigan  ( m.   2003 ),2,,Actor,"Salisbury, Maryland, U.S.",1974-03-24,"Washington, D.C., U.S.","
Actress
television presenter
",Alexis Denisof  ( m.   2003 ),2,-8.074087763609109,53.10718221455608,45.033094450946976
3044,Anthony Denison,1949-09-20,Jennifer Evans ( m.  1986;  div.  2008),,,Actor,"New York, New York, U.S.",,,,,,,69.54010007050111,
3045,David Denman,1973-07-25,Mercedes Mason  (m. 2014),1,"Orange Coast CollegeJuilliard School (BFA)
Fountain Valley High School",Actor,"Newport Beach, California, U.S.",,,,,,,45.695667946638196,
3046,Tony Denman,1979-10-22,Sarah-Jane Potts  (2002–2009),,,Actor,"Minneapolis, Minnesota",,,,,,,39.453239970704395,
3047,Brian Dennehy,1938-07-09,Judith Scheff ( m.  1959–1974) Jennifer Arnott ( m.  1988),5,,Actor,"Bridgeport, Connecticut, U.S.",,,,,,,80.74087763609108,
3048,Barry Dennen,1938-02-22,,,,"Actor, singer, writer","Chicago, Illinois, U.S.",,,,,,,81.11597089604851,
3049,Richard Denning,1914-03-27,Evelyn Ankers ( m.  1942; her death 1985) Patricia Leffingwell ( m.  1986; his death 1998),1,,Actor,"Poughkeepsie, New York, U.S.",1918-08-17,"Valparaíso, Chile",Actress,Richard Denning ( m.  1942; her death 1985),1,-4.3916028392095665,105.02611278807915,100.63450994886959
3050,Alphonso DeNoble,1946-12-20,,,,"Actor, bouncer",United States,,,,,,,72.29169661252456,
3051,Vernon Dent,1895-02-16,Eunice Muncy (1938–1963),,,,"San Jose, California, U.S.",,,,,,,124.13122788284495,
3052,James Denton,1963-01-20,Jenna Lyn Ward ( m.  1997;  div.  2000) Erin O'Brien Denton ( m.  2002),2,,Actor,"Nashville, Tennessee, U.S.",,,,,,,56.20649294646707,
3053,Will Denton,,,,,actor,,,,,,,,,
3054,John Denver,1943-12-31,Annie Martell-Denver ( m.  1967;  div.  1982) Cassandra Delaney-Denver ( m.  1988;  div.  1993),3,,Singer-songwritermusicianrecord produceractivistactorhumanitarian,"Roswell, New Mexico, U.S.",,,,,,,75.26232571510708,
3055,Rorke Denver,,,,,"
Actor
author
",Northern California,,,,,,,,
3056,Harry Depp,,Nedra Belle Gilosky ( m.  1915; died 1932) Helen William Luther  ( m.  1950),Evelyn Christine,,"Stage and film actor, comedian, writer, real estate agent","St. Louis, Missouri, USA",,,,,,,,
3057,Johnny Depp,1963-06-09,Lori Allison ( m.  1983;  div.  1985) Amber Heard ( m.  2015;  div.  2017),"2, including Lily-Rose Depp",,Actorproducermusician,"Owensboro, Kentucky, U.S.",,,,,,,55.82318596548868,
3058,John Derek,1926-08-12,Pati Behrs ( m.  1948;  div.  1955) Ursula Andress ( m.  1957;  div.  1966) Linda Evans ( m.  1968;  div.  1974) Bo Derek ( m.  1976; died 1998),2,,"Actor, director, photographer","Hollywood, California, U.S.",1922-02-13,Turkey[1],"Actress, ballerina",Gogi Tchitchinadze  (m. 19??; div. 19??) John Derek ( m.  1948;  div.  1955) Lucius Lindley ( m.  1975; died 1986),2,4.492905398468141,92.6480352094841,97.14094060795225
3059,Joe DeRita,1909-07-12,Bonnie Brooks ( m.  1935; her death 1965) [1] Jean Sullivan ( m.  1967; his death 1993),,,"Actor, comedian","Philadelphia, Pennsylvania, U.S.",,,,,,,109.7325749330924,
3060,Bruce Dern,1936-06-04,Marie Dean ( m.  1957–1959) Diane Ladd  ( m.  1960–1969) Andrea Beckett ( m.  1969),"2, including Laura Dern",The Choate School,Actor,"Chicago, Illinois, U.S.",,,,,,,82.8353764964373,
3061,Cleavant Derricks,1953-05-15,Portia Derricks,4,,"Actor, singer-songwriter","Knoxville, Tennessee, United States",,,,,,,65.89047003018543,
